AlarmEvent,AlarmId,AlarmMsg,AlarmTime,Channel,PicInfo.ObjName,PicInfo.ObjSize,PicInfo.StorageBucket,VideoInfo.VideoLength,PicErr
appEventHumanDetectAlarm:2,240808134809,,2024-08-08 13:48:10,0,003/003_fb1f6e5c62b71703_240808134809.jpeg,36705.0,OBS_sg-ai-img,,
VideoMotion:2,240808134809,,2024-08-08 13:48:09,0,003/003_1ce32155e73d3804_240808134809.jpeg,88334.0,VTT_camera151,,
VideoMotion:2,240808133601,,2024-08-08 13:36:02,0,003/003_1ce32155e73d3804_240808133601.jpeg,88105.0,VTT_camera151,,
appEventHumanDetectAlarm:2,240808133439,,2024-08-08 13:34:40,0,003/003_fb1f6e5c62b71703_240808133439.jpeg,38432.0,OBS_sg-ai-img,,
VideoMotion:2,240808133439,,2024-08-08 13:34:39,0,003/003_1ce32155e73d3804_240808133439.jpeg,86567.0,VTT_camera151,,
VideoMotion:2,240808133359,,2024-08-08 13:33:59,0,003/003_1ce32155e73d3804_240808133359.jpeg,86361.0,VTT_camera151,,
VideoMotion:2,240808133312,,2024-08-08 13:33:12,0,003/003_1ce32155e73d3804_240808133312.jpeg,89530.0,VTT_camera151,,
appEventHumanDetectAlarm:2,2488133259,,2024-08-08 13:33:01,0,003/003_ba39b3962a4bfe81_2488133259.jpeg,39835.0,OBS_sg-ai-img,10.0,
VideoMotion:2,240808133231,,2024-08-08 13:32:31,0,003/003_1ce32155e73d3804_240808133231.jpeg,82085.0,VTT_camera151,,
appEventHumanDetectAlarm:2,240808133148,,2024-08-08 13:31:49,0,003/003_fb1f6e5c62b71703_240808133148.jpeg,38194.0,OBS_sg-ai-img,,
VideoMotion:2,240808133109,,2024-08-08 13:31:09,0,003/003_1ce32155e73d3804_240808133109.jpeg,81466.0,VTT_camera151,,
appEventHumanDetectAlarm:2,240808133108,,2024-08-08 13:31:09,0,003/003_fb1f6e5c62b71703_240808133108.jpeg,36883.0,OBS_sg-ai-img,10.0,
VideoMotion:2,240808133027,,2024-08-08 13:30:27,0,003/003_1ce32155e73d3804_240808133027.jpeg,82344.0,VTT_camera151,,
